0,1,Industry,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
 , ,10-39 Manufacturing,3.0,3.0,2.0,4.0,3.0,3.0,5.0,,9.0,,6.0,
 , ,41-43 Construction,1.0,2.0,2.0,2.0,,1.0,1.0,,4.0,,2.0,
 , ,45-56 Trade and transport etc.,6.0,5.0,3.0,5.0,5.0,5.0,6.0,,9.0,,7.0,
 , ,58-63 Information and communication,62.0,62.0,64.0,63.0,64.0,71.0,61.0,,73.0,,63.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,18.0,,12.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",10.0,10.0,9.0,10.0,8.0,10.0,15.0,,,,,
 ,50-99 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",14.0,18.0,17.0,17.0,21.0,22.0,19.0,,26.0,,24.0,
 , ,10-39 Manufacturing,8.0,11.0,11.0,9.0,11.0,10.0,10.0,,15.0,,18.0,
 , ,41-43 Construction,,3.0,6.0,5.0,7.0,3.0,,,6.0,,1.0,
 , ,45-56 Trade and transport etc.,13.0,16.0,9.0,16.0,20.0,20.0,15.0,,25.0,,23.0,
 , ,58-63 Information and communication,64.0,69.0,69.0,70.0,80.0,84.0,80.0,,82.0,,71.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,28.0,,28.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",18.0,23.0,29.0,18.0,26.0,34.0,29.0,,,,,
 ,100-249 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",26.0,25.0,29.0,28.0,31.0,34.0,35.0,,40.0,,39.0,
 , ,10-39 Manufacturing,22.0,22.0,25.0,22.0,27.0,28.0,28.0,,34.0,,34.0,
 , ,41-43 Construction,12.0,9.0,12.0,13.0,15.0,15.0,16.0,,13.0,,12.0,
 , ,45-56 Trade and transport etc.,23.0,21.0,27.0,25.0,27.0,30.0,31.0,,40.0,,37.0,
 , ,58-63 Information and communication,71.0,75.0,81.0,79.0,81.0,81.0,83.0,,89.0,,85.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,45.0,,38.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",25.0,26.0,27.0,31.0,34.0,39.0,41.0,,,,,
 ,250 employees and over,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",52.0,53.0,57.0,55.0,58.0,60.0,59.0,,68.0,,66.0,
 , ,10-39 Manufacturing,48.0,48.0,54.0,49.0,57.0,61.0,60.0,,68.0,,69.0,
 , ,41-43 Construction,28.0,31.0,37.0,26.0,32.0,32.0,42.0,,49.0,,53.0,
 , ,45-56 Trade and transport etc.,52.0,52.0,50.0,55.0,54.0,58.0,55.0,,68.0,,61.0,
 , ,58-63 Information and communication,80.0,80.0,87.0,94.0,94.0,97.0,95.0,,96.0,,87.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,59.0,,64.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",52.0,58.0,67.0,61.0,63.0,57.0,55.0,,,,,
4. Have experienced difficulties in recruiting IT specialists,,,,,,,,,,,,,,
 ,All enterprises (with at least 10 employees),,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",5.0,5.0,6.0,7.0,8.0,8.0,8.0,,12.0,,8.0,
 , ,10-39 Manufacturing,2.0,3.0,3.0,5.0,6.0,5.0,6.0,,8.0,,7.0,
 , ,41-43 Construction,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,2.0,,1.0,
 , ,45-56 Trade and transport etc.,4.0,3.0,3.0,4.0,4.0,5.0,5.0,,8.0,,5.0,
 , ,58-63 Information and communication,29.0,33.0,42.0,48.0,51.0,54.0,46.0,,59.0,,33.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,12.0,,9.0,
