 , ,41-43 Construction,12,9,12,13,15,15,16,..,13,..,12,..
 , ,45-56 Trade and transport etc.,23,21,27,25,27,30,31,..,40,..,37,..
 , ,58-63 Information and communication,71,75,81,79,81,81,83,..,89,..,85,..
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,..,45,..,38,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",25,26,27,31,34,39,41,..,..,..,..,..
 ,250 employees and over,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",52,53,57,55,58,60,59,..,68,..,66,..
 , ,10-39 Manufacturing,48,48,54,49,57,61,60,..,68,..,69,..
 , ,41-43 Construction,28,31,37,26,32,32,42,..,49,..,53,..
 , ,45-56 Trade and transport etc.,52,52,50,55,54,58,55,..,68,..,61,..
 , ,58-63 Information and communication,80,80,87,94,94,97,95,..,96,..,87,..
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,..,59,..,64,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",52,58,67,61,63,57,55,..,..,..,..,..
4. Have experienced difficulties in recruiting IT specialists,,,,,,,,,,,,,,
 ,All enterprises (with at least 10 employees),,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",5,5,6,7,8,8,8,..,12,..,8,..
 , ,10-39 Manufacturing,2,3,3,5,6,5,6,..,8,..,7,..
 , ,41-43 Construction,0,0,1,1,0,0,0,..,2,..,1,..
 , ,45-56 Trade and transport etc.,4,3,3,4,4,5,5,..,8,..,5,..
 , ,58-63 Information and communication,29,33,42,48,51,54,46,..,59,..,33,..
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,..,12,..,9,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",4,5,6,7,7,7,10,..,..,..,..,..
 ,10-49 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",4,4,4,6,5,6,6,..,9,..,5,..
 , ,10-39 Manufacturing,0,2,1,2,2,0,2,..,3,..,2,..
 , ,41-43 Construction,..,..,1,0,..,..,..,..,1,..,1,..
 , ,45-56 Trade and transport etc.,3,1,1,2,2,3,3,..,4,..,3,..
 , ,58-63 Information and communication,30,33,41,46,49,51,44,..,56,..,29,..
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,..,10,..,6,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",3,4,4,6,3,4,7,..,..,..,..,..
 ,50-99 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",6,7,8,10,12,15,13,..,16,..,13,..
 , ,10-39 Manufacturing,2,2,6,5,7,8,6,..,7,..,9,..
 , ,41-43 Construction,..,2,2,2,..,..,..,..,4,..,1,..
 , ,45-56 Trade and transport etc.,5,6,5,9,11,13,10,..,15,..,10,..
 , ,58-63 Information and communication,..,..,..,..,..,..,..,..,..,..,48,..
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,..,16,..,15,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",8,12,9,8,12,19,19,..,..,..,..,..
 ,100-249 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",10,8,13,15,18,19,18,..,26,..,20,..
 , ,10-39 Manufacturing,7,6,9,11,15,13,15,..,19,..,20,..
 , ,41-43 Construction,9,3,2,4,11,6,4,..,8,..,9,..
 , ,45-56 Trade and transport etc.,11,8,12,11,15,18,14,..,25,..,20,..
 , ,58-63 Information and communication,25,31,46,58,54,64,51,..,79,..,46,..
